scenario_id,scenario_class,scenario_name,direction,severity,caliber,factor,factor_cn,contribution_pct,share_pct
H1,历史,2022 美联储快速加息,利率上行,-,主,d5y_bp,5年期美债收益率,0.2391,17.78
H1,历史,2022 美联储快速加息,利率上行,-,主,d10y_bp,10年期美债收益率,0.8205,61.01
H1,历史,2022 美联储快速加息,利率上行,-,主,doas_bp,新兴市场IG信用利差,0.0,0.0
H1,历史,2022 美联储快速加息,利率上行,-,主,fx_ret_pct,人民币兑美元汇率,0.0,0.0
H1,历史,2022 美联储快速加息,利率上行,-,主,residual,未解释残差（信用维度）,0.2853,21.21
H1,历史,2022 美联储快速加息,利率上行,-,次,d5y_bp,5年期美债收益率,0.0386,4.81
H1,历史,2022 美联储快速加息,利率上行,-,次,d10y_bp,10年期美债收益率,0.1758,21.93
H1,历史,2022 美联储快速加息,利率上行,-,次,doas_bp,新兴市场IG信用利差,0.0,0.0
H1,历史,2022 美联储快速加息,利率上行,-,次,fx_ret_pct,人民币兑美元汇率,0.2001,24.95
H1,历史,2022 美联储快速加息,利率上行,-,次,residual,未解释残差（信用维度）,0.3874,48.31
H2,历史,2023 美国银行业风波,避险(方向相反),-,主,d5y_bp,5年期美债收益率,0.0771,13.73
H2,历史,2023 美国银行业风波,避险(方向相反),-,主,d10y_bp,10年期美债收益率,0.2637,46.93
H2,历史,2023 美国银行业风波,避险(方向相反),-,主,doas_bp,新兴市场IG信用利差,0.0,0.0
H2,历史,2023 美国银行业风波,避险(方向相反),-,主,fx_ret_pct,人民币兑美元汇率,0.0,0.0
H2,历史,2023 美国银行业风波,避险(方向相反),-,主,residual,未解释残差（信用维度）,0.2211,39.35
H2,历史,2023 美国银行业风波,避险(方向相反),-,次,d5y_bp,5年期美债收益率,0.1003,17.99
H2,历史,2023 美国银行业风波,避险(方向相反),-,次,d10y_bp,10年期美债收益率,0.1465,26.28
H2,历史,2023 美国银行业风波,避险(方向相反),-,次,doas_bp,新兴市场IG信用利差,0.0,0.0
H2,历史,2023 美国银行业风波,避险(方向相反),-,次,fx_ret_pct,人民币兑美元汇率,0.058,10.4
H2,历史,2023 美国银行业风波,避险(方向相反),-,次,residual,未解释残差（信用维度）,0.2528,45.34
H3,历史,2025 关税冲击,利率+信用+汇率,-,主,d5y_bp,5年期美债收益率,0.0771,6.71
H3,历史,2025 关税冲击,利率+信用+汇率,-,主,d10y_bp,10年期美债收益率,0.4102,35.7
H3,历史,2025 关税冲击,利率+信用+汇率,-,主,doas_bp,新兴市场IG信用利差,0.0417,3.63
H3,历史,2025 关税冲击,利率+信用+汇率,-,主,fx_ret_pct,人民币兑美元汇率,0.0,0.0
H3,历史,2025 关税冲击,利率+信用+汇率,-,主,residual,未解释残差（信用维度）,0.62,53.96
H3,历史,2025 关税冲击,利率+信用+汇率,-,次,d5y_bp,5年期美债收益率,0.0771,5.04
H3,历史,2025 关税冲击,利率+信用+汇率,-,次,d10y_bp,10年期美债收益率,0.4102,26.81
H3,历史,2025 关税冲击,利率+信用+汇率,-,次,doas_bp,新兴市场IG信用利差,0.0417,2.73
