date,event_cn,market,expected_direction,note,source
2021-10-12,中资房企信用危机(恒大等)美元债抛售传染,credit,中资/亚洲IG利差走阔、债券价格下跌,2021-10-12~15 标的大跌后反弹,内部知识库
2021-11-04,英央行意外不加息 美债收益率回落,rate,5Y/10Y美债收益率下行,11-04 d5y=-9bp,内部知识库
2021-11-10,美国10月CPI同比6.2%创31年新高,rate,美债急跌 收益率大幅上行,d5y=+15bp,内部知识库
2021-11-26,奥密克戎变异株恐慌 全球避险,rate,收益率大降 30Y领跌,d5y=-18bp d10y=-16bp,内部知识库
2021-12-09,恒大正式违约 美元走强,credit+fx,人民币贬值 信用承压,DEXCHUS当日+1%,内部知识库
2022-01-18,美联储紧缩预期发酵 收益率飙升,credit+rate,全球债市回调 亚洲IG下跌,ETF当日-0.8%,内部知识库
2022-01-27,美联储1月会议转鹰(鲍威尔),rate+fx,美元走强 人民币贬值,DEXCHUS+1%,内部知识库
2022-02-07,节后风险偏好回落 美债调整,credit,亚洲IG承压,ETF-0.8%,内部知识库
2022-02-28,俄乌开战 避险与通胀双线,rate,美债先避险下行,d5y=-15bp,内部知识库
2022-03-15,美联储开启加息周期(3/16加息25bp)前风险偏好,credit+rate,债市承压 波动放大,ETF-1.46%,内部知识库
2022-03-17,加息落地 利空出尽反弹,credit,风险资产反弹,ETF+0.84%,内部知识库
2022-03-28,上海疫情封控 增长担忧,credit+fx,中资信用承压,ETF-0.84%,内部知识库
2022-04-25,人民币快速贬值(疫情封控+中美利差倒挂),fx,美元强 人民币贬,DEXCHUS连续+0.8~1%,内部知识库
2022-05-12,人民币续贬 中美利差倒挂加深,fx,DEXCHUS+1%,内部知识库
2022-05-03,5月FOMC前风险偏好弱 债市调整,credit,ETF-0.75%,内部知识库
2022-06-13,5月CPI超预期后美债暴跌 全球债市承压,rate+credit,d5y+31bp d10y+28bp ETF-1.8%,内部知识库
2022-06-15,FOMC加息75bp 声明后收益率回落,rate,d5y-23bp,内部知识库
2022-07-22,中国地产纾困与政策预期 风险偏好,credit,亚洲信用走强,ETF+0.8%(单日),内部知识库
2022-08-05,7月非农强劲 加息预期升温,rate,d5y+21bp,内部知识库
2022-09-06,人民币贬向6.9 美元指数走强,fx,DEXCHUS+0.8%,内部知识库
2022-09-22,FOMC鹰派点阵图 收益率上行,rate,d10y+19bp,内部知识库
2022-09-26,英国迷你预算危机 全球利率上行,rate,d10y+19bp,内部知识库
2022-09-28,英央行紧急购债 全球收益率回落,rate+fx,美债收益率大降 美元高位回落,d5y-29bp ETF-1.0%,内部知识库
2022-10-14,全球债市动荡(英养老金危机) 信用承压,credit,亚洲IG下跌,ETF-1.28%,内部知识库
2022-10-26,美元自高位大幅回落 人民币急升,fx,DEXCHUS-1.35%,内部知识库
2022-11-10,美国10月CPI回落至7.7% 美债暴涨,rate+fx,d5y-32bp d10y-30bp 人民币升,内部知识库
2022-11-14,中国发布防控优化二十条+地产金融16条(11-11公布 美股11-11休市),credit+fx,亚洲股债大涨 人民币急升,ETF+1.76% FX-1.59%,内部知识库
2022-11-29,证监会恢复房企股权融资(第三支箭),credit,亚洲信用大涨,ETF+0.91%(与3141反向 存疑),内部知识库
2022-11-30,人民币续升 风险偏好修复,fx,DEXCHUS-0.97%,内部知识库
2022-12-05,防疫新十条 放开加速 人民币走强,fx,DEXCHUS-0.83%,内部知识库
2022-12-30,年末人民币偏强 美元弱,fx,DEXCHUS-0.94%,内部知识库
2023-01-06,美国12月ISM服务业破荣枯线+薪资降温,rate,收益率大降,d5y-21bp,内部知识库
2023-01-09,中国重启+美元走弱 人民币续升,fx,DEXCHUS-0.98%,内部知识库
2023-01-12,美国12月CPI回落+中国开放推进,credit,风险资产上行,ETF+0.89%,内部知识库
2023-01-17,人民币单日回调(升幅过大/中间价),fx,DEXCHUS+1.06%,内部知识库
2023-03-01,中国2月PMI强劲 人民币升值,fx,DEXCHUS-0.97%,内部知识库
2023-03-10,硅谷银行SVB被接管 避险,rate+fx+credit,美债收益率大降 美元弱,d5y-26bp FX-0.87%,内部知识库
2023-03-13,SVB传染 瑞信危机发酵,rate+fx,d5y-28bp FX-0.83%,内部知识库
2023-03-14,美联储新工具BTFP 银行风险缓解 投资级债涨,credit,ETF+0.78%,内部知识库
2023-03-17,瑞信危机蔓延 美债收益率续降,rate,d5y-28bp,内部知识库
2023-03-23,美联储加息25bp接近尾声 美元走弱,fx,DEXCHUS-0.90%,内部知识库
2023-06-20,中国1年期LPR下调10bp 经济偏弱,credit+fx,人民币贬值,DEXCHUS+0.78%,内部知识库
2023-06-26,人民币续贬(中美利差/经济预期),fx,DEXCHUS+0.81%,内部知识库
2023-09-11,央行维稳+美元回落 人民币急升,fx,DEXCHUS-0.75%,内部知识库
2023-10-04,美债长端急升(10Y创多年新高) 全球利差走阔,rate+credit,ETF-0.92% OAS+12bp,内部知识库
2023-10-26,美债动荡延续 经济数据强劲,credit,利差走阔,OAS+10bp,内部知识库
2023-11-01,美债供应与再融资压力,credit,利差走阔,OAS+11bp,内部知识库
2023-11-06,风险偏好修复 利差收窄,credit,OAS-10bp,内部知识库
2023-11-14,美国10月CPI低于预期(3.2%),rate,收益率大降,d5y-24bp d10y-19bp,内部知识库
2023-11-15,CPI后信用大涨 利差大幅收窄,credit,OAS-15bp,内部知识库
2023-11-20,美元走弱 人民币升,fx,DEXCHUS-0.8%,内部知识库
2023-12-01,鲍威尔称"为时过早谈降息" 鹰派,credit,利差走阔,OAS+10bp,内部知识库
2023-12-13,FOMC点阵图转向降息 收益率大降,rate+credit,d5y-23bp (OAS指数T+1口径,12/13+15bp为前日走阔),内部知识库
2023-12-14,转鸽确认 风险资产大涨 美元走弱,credit+fx,ETF+0.88% FX-0.89% OAS-13bp,内部知识库
2024-01-02,年初购汇需求与美元偏强 人民币走弱,fx,DEXCHUS+0.8%,内部知识库
2024-02-07,中国股市流动性风险+美债收益率上行,credit,亚洲IG承压,ETF-0.77%,内部知识库
2024-04-10,美国3月CPI超预期 收益率急升,rate,d5y+24bp d10y+19bp,内部知识库
2024-05-06,美元回落 人民币升值,fx,DEXCHUS-0.5%,内部知识库
2024-05-16,美国4月CPI回落 风险资产涨,credit,ETF+1.06%,内部知识库
2024-08-02,7月非农大幅走弱+日元套息平仓,rate+fx+credit,美债收益率大降 美元弱 信用波动,d5y-22bp ETF+1.4% FX-1.2%,内部知识库
2024-10-04,9月非农强劲 收益率上行,rate,d5y+19bp,内部知识库
2024-10-08,中国政策刺激后汇率波动 人民币回调,fx,DEXCHUS+0.8%,内部知识库
2024-11-06,特朗普胜选 美债收益率上行 美元大涨,rate+fx,d10y+16bp DEXCHUS+1.03%,内部知识库
2025-04-02,美国"解放日"对等关税(中国累计约54%) 历史级risk-off,rate+credit+fx,美债先暴跌后回升 信用利差走阔,4/2~4/3 d5y-20bp OAS+10bp,web检索
2025-04-08,美中关税加码至104% 人民币中间价破7.20 美债市场承压,rate+fx,美债剧烈波动 离岸CNH创纪录7.43,web检索
2025-04-09,90天关税暂缓(不含中国) 美股+9.5%,rate,美债收益率回升,4/9 d5y+18bp,web检索
2025-04-10,中国反制84%至125% 亚洲IG信用risk-off,credit+rate,信用利差走阔加久期损失,9141 -1.86%,web检索
2025-04-11,隔夜美股再跌后亚洲风险偏好修复,credit,ETF反弹,9141 +0.77%,web检索
2025-05-07,中国央行宽松(降准50bp加7天逆回购降10bp),credit,fx 人民币稳,web检索
2025-05-12,美中日内瓦停火(美145%降至30% 中125%降至10%),credit+fx,亚洲IG利差大幅收窄 人民币趋稳,web检索
2025-06-05,美国5月ADP弱加ISM服务跌破荣枯线 叠加美中谈判预期,rate+credit,美债收益率大降 信用风险偏好回升,6/5 10Y约-9bp 9141 +1.29%,web检索
2025-06-16,中国地产止跌回稳推进 新城控股发行美元债,credit,地产链信用风险偏好回升,web检索
2025-07-23,美中缓和交易股债跷跷板 中国长债大跌,credit,亚洲长端调整 债基回撤,9141 -1.0% 低置信单日偏大,web检索
2025-08-01,日央行加息加套息平仓重演 全球risk-off,rate+credit,美债收益率下行 利差走阔,d5y-19bp OAS+8bp 中置信(推断),web检索+推断
2025-08-11,美中关税休战再延90天,credit+fx,风险偏好回升,web检索
2025-09-17,美联储2025年首次降息25bp(至4.00-4.25%),rate,短端收益率下行 信用risk-on,web检索
2025-10-30,特朗普-习近平会晤达成一年战术休战,credit+fx,亚洲信用走强 人民币升值,web检索
2025-12-10,美联储年内第三次降息(至3.50-3.75%),rate,收益率下行 人民币月末趋近7.0,web检索
2026-01-23,人民币中间价创2023年来最强(6.9929) USDCNY破7,fx,人民币升值,web检索
2026-02-28,美以空袭伊朗 海湾战争爆发,rate+credit,油价飙升 避险,web检索
2026-03-02,开战首个交易日 布油大涨13% 全球risk-off,rate+credit,收益率上行 信用走阔,d5y+11bp,web检索
2026-03-18,FOMC按兵不动(3.50-3.75%) 点阵图仍显示1次降息,rate,收益率上行 降息预期收敛,3/18~3/20 d5y+13bp d10y+14bp,web检索
2026-03-23,海湾战争risk-off(霍尔木兹48小时通牒) 10Y创8个月高位,rate+credit,久期损失加利差走阔,9141 -0.7% OAS+7bp,web检索
2026-05-19,美债长端抛售峰值 10Y约4.68% 30Y约5.2%,rate+credit,久期损失 利差走阔,web检索
2026-07-15,人民币中间价破6.80 升值至约6.77,fx,人民币升值,web检索
